@@@@@@@@@@@@@@@@@@@@, @@@@
ACHIEVEMENTS@ACHIEVEMENT020, 自然の女神
ACHIEVEMENTS@ACHIEVEMENT021, 永遠の王
ACHIEVEMENTS@ACHIEVEMENT022, 領土の私有地
ACHIEVEMENTS@ACHIEVEMENT023, 素晴らしい発見
ACHIEVEMENTS@ACHIEVEMENT024, 極秘の技術
ACHIEVEMENTS@ACHIEVEMENT025, 壁など相手にはならない
ACHIEVEMENTS@ACHIEVEMENT026, 骨の売人
ACHIEVEMENTS@ACHIEVEMENT027, お宝発掘
ACHIEVEMENTS@ACHIEVEMENT028, 友人から家族へ
ACHIEVEMENTS@ACHIEVEMENT029, 同胞の力
ACHIEVEMENTS@ACHIEVEMENT030, 備えあれば患いなし
ACHIEVEMENTS@ACHIEVEMENT031, 魔法のシナジー
ACHIEVEMENTS@ACHIEVEMENT032, 最終形態
ACHIEVEMENTS@ACHIEVEMENT033, 力の座
ACHIEVEMENTS@ACHIEVEMENT034, 君主である自分
ACHIEVEMENTS@ACHIEVEMENT035, 自由になる野望
ACHIEVEMENTS@ACHIEVEMENT036, 炎の友
ACHIEVEMENTS@ACHIEVEMENT037, 勝ち目に反して
ACHIEVEMENTS@ACHIEVEMENT038, でっち上げられた戦争
ACHIEVEMENTS@ACHIEVEMENT039, 突破不能な要塞
ACHIEVEMENTS@ACHIEVEMENT040, 威圧的戦略
ACHIEVEMENTS@ACHIEVEMENT041, 万能な学術書
ACHIEVEMENTS@ACHIEVEMENT042, 悪のマスター
ACHIEVEMENTS@ACHIEVEMENT043, 灰色の魔法使い
ACHIEVEMENTS@ACHIEVEMENT044, 進むための刈り込み
ACHIEVEMENTS@ACHIEVEMENT045, ドラゴンここにあり
ACHIEVEMENTS@ACHIEVEMENT046, 天秤
ACHIEVEMENTS@ACHIEVEMENT047, 双対性
ACHIEVEMENTS@ACHIEVEMENT048, ドラゴンの血
ACHIEVEMENTS@ACHIEVEMENT049, 偉大なる宝庫
ACHIEVEMENTS@ACHIEVEMENT050, ドラゴン専門家
ACHIEVEMENTS@ACHIEVEMENT051, マヌハリの解放土地
ACHIEVEMENTS@ACHIEVEMENT052, セヒラン・オアシス
ACHIEVEMENTS@ACHIEVEMENT053, プロメテウスの敵討ち
ACHIEVEMENTS@ACHIEVEMENT054, 混沌のうねり
ACHIEVEMENTS@ACHIEVEMENT055, 収められし紋章
ACHIEVEMENTS@ACHIEVEMENT056, 征服者の歩兵隊
ACHIEVEMENTS@ACHIEVEMENT057, 戦場の戦利品
ACHIEVEMENTS@ACHIEVEMENT058, 恐怖の夜明け
ACHIEVEMENTS@ACHIEVEMENT059, 我が手中に
ACHIEVEMENTS@ACHIEVEMENT060, とても特別な指輪
ACHIEVEMENTS@ACHIEVEMENT061, グレイズ戦略
ACHIEVEMENTS@ACHIEVEMENT062, 精霊に寵愛されし者
ACHIEVEMENTS@ACHIEVEMENT063, 静寂の帝国
ACHIEVEMENTS@ACHIEVEMENT064, 蛇の嵐
ACHIEVEMENTS@ACHIEVEMENT065, 季節の移り変わり
ACHIEVEMENTS@LOCKED_DESCRIPTION000, すべてのトロフィーを入手する。
ACHIEVEMENTS@LOCKED_DESCRIPTION001, 「ゴディールの台頭：不思議な谷」をクリアする。
ACHIEVEMENTS@LOCKED_DESCRIPTION002, 「ゴディールの台頭：魅惑の群島」をクリアする。
ACHIEVEMENTS@LOCKED_DESCRIPTION003, 「ゴディールの台頭：深紅色のカルデラ」をクリアする。
ACHIEVEMENTS@LOCKED_DESCRIPTION004, 「ゴディールの台頭：不朽の宮廷」をクリアする。
ACHIEVEMENTS@LOCKED_DESCRIPTION005, 「ゴディールの台頭：グレキソリス」をクリアする。
ACHIEVEMENTS@LOCKED_DESCRIPTION006, 同盟を1つも倒されずに「ゴディールの台頭：グレキソリス」をクリアする。
ACHIEVEMENTS@LOCKED_DESCRIPTION007, 永久の魔法使い全員（ヤカ、ニムー、アラクナ、ファンギル、アルティカとカリッサ）を自分のパンテオンに雇用する。
ACHIEVEMENTS@LOCKED_DESCRIPTION008, 「ゴディールの台頭：不思議な谷」で、サンドレンに対して戦争を仕掛ける。
ACHIEVEMENTS@LOCKED_DESCRIPTION009, 「ゴディールの台頭：深紅色のカルデラ」で、通常の征服を通して敵のゴディール全員を倒す。
ACHIEVEMENTS@LOCKED_DESCRIPTION010, 「ゴディールの台頭：不朽の宮廷」で、通常の征服を通してメンドールを倒す。
ACHIEVEMENTS@LOCKED_DESCRIPTION011, 軍事勝利を達成する。
ACHIEVEMENTS@LOCKED_DESCRIPTION012, 拡張勝利を達成する。
ACHIEVEMENTS@LOCKED_DESCRIPTION013, 魔法勝利を達成する。
ACHIEVEMENTS@LOCKED_DESCRIPTION014, チャンピオンとしてゲームに勝利する。
ACHIEVEMENTS@LOCKED_DESCRIPTION015, 魔法使いの王としてゲームに勝利する。
ACHIEVEMENTS@LOCKED_DESCRIPTION016, グレード Vの秩序のアフィニティー学術書をアンロックする。
ACHIEVEMENTS@LOCKED_DESCRIPTION017, グレード Vのカオスのアフィニティー学術書をアンロックする。
ACHIEVEMENTS@LOCKED_DESCRIPTION018, グレード Vのアストラルのアフィニティー学術書をアンロックする。
ACHIEVEMENTS@LOCKED_DESCRIPTION019, グレード Vのマテリアムのアフィニティー学術書をアンロックする。
ACHIEVEMENTS@LOCKED_DESCRIPTION020, グレード Vの自然のアフィニティー学術書をアンロックする。
ACHIEVEMENTS@LOCKED_DESCRIPTION021, グレード Vの影のアフィニティー学術書をアンロックする。
ACHIEVEMENTS@LOCKED_DESCRIPTION022, 最初の都市を創立する。
ACHIEVEMENTS@LOCKED_DESCRIPTION023, 古代の不思議を一掃する。
ACHIEVEMENTS@LOCKED_DESCRIPTION024, ヒーロー用の特殊スキルを選択する。
ACHIEVEMENTS@LOCKED_DESCRIPTION025, 都市の壁を突破する。
ACHIEVEMENTS@LOCKED_DESCRIPTION026, 穴蔵にあるヒーローの残骸を売る。
ACHIEVEMENTS@LOCKED_DESCRIPTION027, 地下で領域を掘り起こす。
ACHIEVEMENTS@LOCKED_DESCRIPTION028, 自分の帝国に自由都市を統合させる。
ACHIEVEMENTS@LOCKED_DESCRIPTION029, 別の支配者との同盟を結ぶ。
ACHIEVEMENTS@LOCKED_DESCRIPTION030, 一人のヒーローの装備スロットをすべて埋める。
ACHIEVEMENTS@LOCKED_DESCRIPTION031, 魔法素材のコレクションをコンプリートさせる。
ACHIEVEMENTS@LOCKED_DESCRIPTION032, 自分の種族に3回種族変身を経験させる。
ACHIEVEMENTS@LOCKED_DESCRIPTION033, グレード4の王座の都市で、魔法使いの塔の全レベルをクリアする。
ACHIEVEMENTS@LOCKED_DESCRIPTION034, 君主の進軍で利用可能な雇用ポイントを20ポイント以上持つ。
ACHIEVEMENTS@LOCKED_DESCRIPTION035, 隷属になった後、自由の身になるために再交渉をする。
ACHIEVEMENTS@LOCKED_DESCRIPTION036, ドラゴンを所有する。
ACHIEVEMENTS@LOCKED_DESCRIPTION037, マニュアル戦闘でハイリスクバトルに勝利する。
ACHIEVEMENTS@LOCKED_DESCRIPTION038, 捏造された開戦事由を利用して、適度に正当化された戦争を開始する。
ACHIEVEMENTS@LOCKED_DESCRIPTION039, 要塞のHPが150以上ある都市を所有する。
ACHIEVEMENTS@LOCKED_DESCRIPTION040, 一回のバトル中に少なくとも3体の敵ユニットが完敗する状況にさせる。
ACHIEVEMENTS@LOCKED_DESCRIPTION041, 6つあるアフィニティーそれぞれの内少なくとも1つの学術書をアンロックしてゲームに勝利する。
ACHIEVEMENTS@LOCKED_DESCRIPTION042, 闇のゴブリンの派閥を統率し、混沌の王として勝利に導く。
ACHIEVEMENTS@LOCKED_DESCRIPTION043, 小人の派閥を統率し、人間の魔法使いの王として勝利に導く。
ACHIEVEMENTS@LOCKED_DESCRIPTION044, 好きなアフィニティーに属するすべての帝国スキルをアンロックする。
ACHIEVEMENTS@LOCKED_DESCRIPTION045, ドラゴンの卿としてゲームに勝利する。
ACHIEVEMENTS@LOCKED_DESCRIPTION046, 進化の学術書とドラゴンの学術書を手に入れる。
ACHIEVEMENTS@LOCKED_DESCRIPTION047, 黄金のドラゴンか黒曜石のドラゴンを手に入れる。
ACHIEVEMENTS@LOCKED_DESCRIPTION048, 変身（大）を遂げたドラゴンの卿を所有する。
ACHIEVEMENTS@LOCKED_DESCRIPTION049, ドラゴンの宝庫から50のゴールド収益を手に入れる。
ACHIEVEMENTS@LOCKED_DESCRIPTION050, 炎、凍結、黄金と黒曜石を起源としたドラゴンを所有する。
ACHIEVEMENTS@LOCKED_DESCRIPTION051, 「帝国と灰：マヌハリの解放土地」を完了する
ACHIEVEMENTS@LOCKED_DESCRIPTION052, 「帝国と灰：セヒラン・オアシス」を完了する
ACHIEVEMENTS@LOCKED_DESCRIPTION053, 「マヌハリの解放土地」で、5回以上マヌハリのウォーデンを倒す
ACHIEVEMENTS@LOCKED_DESCRIPTION054, 「セヒラン・オアシス」でカオスのエンダイロンに遭遇する
ACHIEVEMENTS@LOCKED_DESCRIPTION055, 紋章勝利を達成する
ACHIEVEMENTS@LOCKED_DESCRIPTION056, 同一の自由都市に対して3回威圧を使用する
ACHIEVEMENTS@LOCKED_DESCRIPTION057, グレード3以上のユニットを制圧することで雇用する
ACHIEVEMENTS@LOCKED_DESCRIPTION058, 単独戦闘中、アイアンクラッドに全タイプの弾薬を使用させる
ACHIEVEMENTS@LOCKED_DESCRIPTION059, カスタマイズした名前のアイテムを鍛造する
ACHIEVEMENTS@LOCKED_DESCRIPTION060, 全般迷彩を含む3つ以上のインフュージョンを入れた指輪を鍛造する
ACHIEVEMENTS@LOCKED_DESCRIPTION061, 一度の戦闘中に植生障害物を6個消費する
ACHIEVEMENTS@LOCKED_DESCRIPTION062, 原始精霊クエストを完了して原子のアバターになる
ACHIEVEMENTS@LOCKED_DESCRIPTION063, 自分の都市のうち一つの領地全体を霧で覆う
ACHIEVEMENTS@LOCKED_DESCRIPTION064, 大魔術師としてナーガの変身勢派を勝利へ導く
ACHIEVEMENTS@LOCKED_DESCRIPTION065, 季節の犠牲の脅威に終止符を打つ
ACHIEVEMENTS@UNLOCKED_DESCRIPTION000, その他すべてのトロフィーを入手する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION001, 「ゴディールの台頭：不思議な谷」をクリアした。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION002, 「ゴディールの台頭：魅惑の群島」をクリアする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION003, 「ゴディールの台頭：深紅色のカルデラ」をクリアした。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION004, 「ゴディールの台頭：不朽の宮廷」をクリアした。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION005, 「ゴディールの台頭：グレキソリス」をクリアした。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION006, 同盟を1つも倒されずに「ゴディールの台頭：グレキソリス」をクリアした。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION007, 永久の魔法使い全員（ヤカ、ニムー、アラクナ、ファンギル、アルティカとカリッサ）を自分のパンテオンに雇用する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION008, 「ゴディールの台頭：不思議な谷」で、サンドレンに対して戦争を仕掛けた。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION009, 「ゴディールの台頭：深紅色のカルデラ」で、通常の征服を通して敵のゴディール全員を倒した。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION010, 「ゴディールの台頭：不朽の宮廷」で、通常の征服を通してメンドールを倒す。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION011, 軍事勝利を達成する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION012, 拡張勝利を達成する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION013, 魔法勝利を達成する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION014, チャンピオンとしてゲームに勝利する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION015, 魔法使いの王としてゲームに勝利する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION016, グレード Vの秩序のアフィニティー学術書をアンロックする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION017, グレード Vのカオスのアフィニティー学術書をアンロックする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION018, グレード Vのアストラルのアフィニティー学術書をアンロックする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION019, グレード Vのマテリアムのアフィニティー学術書をアンロックする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION020, グレード Vの自然のアフィニティー学術書をアンロックする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION021, グレード Vの影のアフィニティー学術書をアンロックする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION022, 最初の都市を創立する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION023, 古代の不思議を一掃する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION024, ヒーロー用の特殊スキルを選択する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION025, 都市の壁を突破する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION026, 穴蔵にあるヒーローの残骸を売る。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION027, 地下で領域を掘り起こす。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION028, 自分の帝国に自由都市を統合させる。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION029, 別の支配者との同盟を結ぶ。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION030, 一人のヒーローの装備スロットをすべて埋める。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION031, 魔法素材のコレクションをコンプリートさせる。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION032, 自分の種族に3回種族変身を経験させる。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION033, グレード4の王座の都市で、魔法使いの塔の全レベルをクリアした。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION034, 君主の進軍で利用可能な雇用ポイントを20ポイント以上持つ。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION035, 隷属になった後、自由の身になるために再交渉をする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION036, ドラゴンを所有する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION037, マニュアル戦闘でハイリスクバトルに勝利した。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION038, 捏造された開戦事由を利用して、適度に正当化された戦争を開始する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION039, 要塞のHPが150以上ある都市を所有する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION040, 一回のバトル中に少なくとも3体の敵ユニットが完敗する状況にさせる。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION041, 6つあるアフィニティーそれぞれの内少なくとも1つの学術書をアンロックしてゲームに勝利する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION042, 闇のゴブリンの派閥を統率し、混沌の王として勝利に導く。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION043, 小人の派閥を統率し、人間の魔法使いの王として勝利に導く。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION044, 好きなアフィニティーに属するすべての帝国スキルをアンロックする。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION045, ドラゴンの卿としてゲームに勝利する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION046, 進化の学術書とドラゴンの学術書を手に入れる。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION047, 黄金のドラゴンか黒曜石のドラゴンを手に入れる。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION048, 変身（大）を遂げたドラゴンの卿を所有する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION049, ドラゴンの宝庫から50のゴールド収益を手に入れる。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION050, 炎、凍結、黄金と黒曜石を起源としたドラゴンを所有する。
ACHIEVEMENTS@UNLOCKED_DESCRIPTION051, 「帝国と灰：マヌハリの解放土地」を完了する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION052, 「帝国と灰：セヒラン・オアシス」を完了する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION053, 「マヌハリの解放土地」で、5回以上マヌハリのウォーデンを倒す
ACHIEVEMENTS@UNLOCKED_DESCRIPTION054, 「セヒラン・オアシス」でカオスのエンダイロンに遭遇する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION055, 紋章勝利を達成する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION056, 同一の自由都市に対して3回威圧を使用する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION057, グレード3以上のユニットを制圧することで雇用する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION058, 単独戦闘中、アイアンクラッドに全タイプの弾薬を使用させる
ACHIEVEMENTS@UNLOCKED_DESCRIPTION059, カスタマイズした名前のアイテムを鍛造する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION060, 全般迷彩を含む3つ以上のインフュージョンを入れた指輪を鍛造する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION061, 一度の戦闘中に植生障害物を6個消費する
ACHIEVEMENTS@UNLOCKED_DESCRIPTION062, 原始精霊クエストを完了して原子のアバターになる
ACHIEVEMENTS@UNLOCKED_DESCRIPTION063, 自分の都市のうち一つの領地全体を霧で覆う
ACHIEVEMENTS@UNLOCKED_DESCRIPTION064, 大魔術師としてナーガの変身勢派を勝利へ導く
ACHIEVEMENTS@UNLOCKED_DESCRIPTION065, 季節の犠牲の脅威に終止符を打つ
ADVICE@ENCHANTMENTS@DESCRIPTION, 維持費による経済的な影響を受けずにユニットにかけることができる魔力があります。魔力は後でいつでもキャンセルすることができます。
ADVICE@ENCHANTMENTS@INSTRUCTION, 選択して呪文を開いてください。
ADVICE@ENCHANTMENTS@TITLE, 魔力で軍隊を強化する
ADVICE@FIRSTEMPIRESKILL_REMINDER@DESCRIPTION, 最初の帝国スキルを獲得することができるようになりました。[br/][br/] 帝国スキルを持つことで、パワフルなボーナスを獲得したり、あなたの{GLOBAL.EmpireConcept.Hyperlink}の発展を形成していくことができます。 あなたの{GLOBAL.AffinityConcept.Hyperlink}を利用し、時間の経過とともに新たな帝国スキルをアンロックすることができます。その後、{GLOBAL.ImperiumConcept.Hyperlink}を使って帝国スキルを獲得することが可能です。
ADVICE@FIRSTEMPIRESKILL_REMINDER@INSTRUCTION, 左クリックで帝国スキルツリーを確認する
ADVICE@FIRSTEMPIRESKILL_REMINDER@TITLE, 最初の帝国スキルを選択する
ADVICE@GOLDAMOUNT_REMINDER@DESCRIPTION, あなたの{GLOBAL.EmpireConcept.Hyperlink}が{GLOBAL.GoldConcept.Hyperlink}不足になりそうです。[br/][br/]{GLOBAL.ProductionQueueConcept.Hyperlink}にある {GLOBAL.UnitUpkeepConcept.Hyperlink}、<<m: {GLOBAL.UnitConcept.Hyperlink}>>および<<m: {GLOBAL.CityStructureConcept.Hyperlink}>>が、使用可能なゴールドの数に影響を与える可能性があります。[br/][br/] {GLOBAL.DomainConcept.Hyperlink}の拡大を試みたり、{GLOBAL.TurnConcept.Hyperlink}ごとに追加のゴールドを提供することができる<<m: {GLOBAL.ProvinceImprovementConcept.Hyperlink}>>または都市建造物の建設を行ってみてください。
ADVICE@GOLDAMOUNT_REMINDER@INSTRUCTION, 選択して王座の都市パネルを開く
ADVICE@GOLDAMOUNT_REMINDER@TITLE, ゴールド不足
ADVICE@HEROCAP_REMINDER@DESCRIPTION, 新しい{GLOBAL.HeroConcept.Hyperlink}を雇用する時が来ました！[br/][br/] ヒーローは強力なユニットであり、新しい<<m: {GLOBAL.OutpostConcept.Hyperlink}>>を置いたり、あなたの<<m:{GLOBAL.ArmyConcept.Hyperlink}>>を戦闘で統率したりすることができます。また、ヒーローは{GLOBAL.GovernorConcept.Hyperlink}として、自分が割り当てられている<<m:{GLOBAL.CityConcept.Hyperlink}>>に役立つボーナスを提供することができます。[br/][br/]ヒーローを雇用するには、ヒーローの能力上限を拡大させる必要があります。能力上限拡大は、時間の経過とともに発生します。{GLOBAL.ImperiumConcept.Hyperlink}を消費すれば即座に能力上限を増やすことが可能です。
ADVICE@HEROCAP_REMINDER@INSTRUCTION, 左クリックで王座の都市パネルを開く
ADVICE@HEROCAP_REMINDER@TITLE, 新しいヒーローを雇用しましょう！
ADVICE@HEROGOV_REMINDER@TITLE, 総督を都市に割り当てる
ADVICE@HEROKILLED_REMINDER@TITLE, ヒーローが殺されました
ADVICE@IMPERIUMHIGH_REMINDER@DESCRIPTION, 使用可能な{GLOBAL.ImperiumConcept.Hyperlink}がたくさんあるようです。[br/][br/] 帝権を使用することで、様々な方法で{GLOBAL.EmpireConcept.Hyperlink}の成長に役立てることが可能です：[bulletlist][bullet/]帝国スキルを獲得することができます。[bullet/]{GLOBAL.IndependentCityConcept.Hyperlink}を利用して{GLOBAL.HouseInfluenceConcept.Hyperlink}にブーストを与え、外交関係にある{GLOBAL.IndependentCityRelationConcept.Hyperlink}がランクアップするペースを速めることができます。[bullet/]新たな<<m: {GLOBAL.CityConcept.Hyperlink}>>を設立して、マップの一定区域で支配権を獲得し、自分の帝国の制御地域を拡張させることができます。[bullet/]{GLOBAL.PopulationConcept.Hyperlink}を自分の都市から購入することができます。[/bulletlist]
ADVICE@IMPERIUMHIGH_REMINDER@TITLE, 帝権の投資をする
ADVICE@LOWFOOD_REMINDER@DESCRIPTION, {LowFoodCity.Name}の{GLOBAL.FoodConcept.Hyperlink}収益が減少して苦しんでいます。[br/][br/] 食料は、それぞれの{GLOBAL.CityConcept.Hyperlink}が新たに{GLOBAL.PopulationConcept.Hyperlink}を獲得し、新しい<<m: {GLOBAL.ProvinceConcept.Hyperlink}>>と併合するペースを調整するものです。{GLOBAL.PopulationUpkeepConcept.Hyperlink}は食料を必要とするため、食料不足の原因になることもあります。[br/][br/] 一部の<<m: {GLOBAL.CityStructureConcept.Hyperlink}>>や<<m: {GLOBAL.ProvinceImprovementConcept.Hyperlink}>>は、{GLOBAL.TurnConcept.Hyperlink}ごとに都市が生産する食料の量を増加させることが可能です。
ADVICE@LOWFOOD_REMINDER@INSTRUCTION, 選択して{LowFoodCity.Name}を開く
ADVICE@LOWFOOD_REMINDER@TITLE, {LowFoodCity.Name}の食料が減っています
ADVICE@LOWGOLD_REMINDER@DESCRIPTION, あなたの帝国の{GLOBAL.GoldConcept.Hyperlink}収益が少なくなっています。[br/][br/] ゴールド収益が低くなると、帝国のニーズを満たすことができなくなってしまいます。[br/][br/]ゴールド収益が低くなる際の一般的な原因は、{GLOBAL.UnitUpkeepConcept.Hyperlink}である可能性があります。{GLOBAL.DomainConcept.Hyperlink}を拡大し、<<m:{GLOBAL.ProvinceImprovementConcept.Hyperlink}>>を建設するか、{GLOBAL.TurnConcept.Hyperlink}ごとに追加のゴールドを生成できる<<m:{GLOBAL.CityStructureConcept.Hyperlink}>>を<<m:{GLOBAL.CityConcept.Hyperlink}>>内に建設してください。
ADVICE@LOWGOLD_REMINDER@INSTRUCTION, 選択して王座の都市パネルを開く
ADVICE@LOWGOLD_REMINDER@TITLE, ゴールド収益減少
ADVICE@LOWMANA_REMINDER@DESCRIPTION, あなたの帝国の{GLOBAL.ManaConcept.Hyperlink}収益が少なくなっています。[br/][br/] マナ収益が低くなると、帝国のニーズを満たすことができなくなってしまいます。[br/][br/]マナ収益が低くなる際の一般的な原因は、{GLOBAL.UnitEnchantmentConcept.Hyperlink}を持つユニットである可能性があります。{GLOBAL.DomainConcept.Hyperlink}を拡大し、<<m:{GLOBAL.ProvinceImprovementConcept.Hyperlink}>>を建設するか、ターンごとに追加のマナを生成できる<<m:{GLOBAL.CityStructureConcept.Hyperlink}>>を建設してください。
ADVICE@LOWMANA_REMINDER@INSTRUCTION, 選択して王座の都市パネルを開く
ADVICE@LOWMANA_REMINDER@TITLE, マナ収益減少
ADVICE@LOWSTABILITY_REMINDER@DESCRIPTION, {LowStabCity.Name}の{GLOBAL.CityStabilityConcept.Hyperlink}が低くなっています。[br/][br/] 安定性は、あなたの{GLOBAL.CityConcept.Hyperlink}に対する支配力を決めるものです。安定性が高いほど、ボーナスが良くなっていきます。安定性が悪くなると、{GLOBAL.CityStabilityUnrest.Hyperlink}または{GLOBAL.CityStabilityRioting.Hyperlink}と言った面倒な出来事が発生してしまいます。[br/][br/] {GLOBAL.ProvinceImprovementConcept.Hyperlink}を持つごとに、安定性の割合が少しずつ下がっていきます。酒場など一部の<<m: {GLOBAL.CityStructureConcept.Hyperlink}>>は、安定性を向上させます。
ADVICE@LOWSTABILITY_REMINDER@INSTRUCTION, 選択して{LowStabCity.Name}を開く
